package_name,total_tags,unique_tags
fav@0.0.1,173,"Security.Backdoor.LOLBAS.Linux, Security.Backdoor.Obfuscation.LongStrings, Security.Backdoor.Obfuscation, Security.Backdoor.LOLBAS.Windows"
fenv@0.2.1,56,"Security.Backdoor.LOLBAS.Linux, Security.Backdoor.Obfuscation.LongStrings, Security.Backdoor.LOLBAS.Windows"
fermion@0.2.0,1,Security.Backdoor.Obfuscation.LongStrings
flate3@1.0.3,1,Security.Backdoor.LOLBAS.Windows
flv@0.0.1,15,Security.Backdoor.Obfuscation.LongStrings
foundation@0.0.1,28,"Security.Backdoor.LOLBAS.Linux, Security.Backdoor.DataExfiltration, Security.Backdoor.LOLBAS.Windows"
ftoa@0.1.1,0,
future@0.1.3,3,Security.Backdoor.DataExfiltration
futures2@0.1.0,0,
futurex@0.0.0,1,Security.Backdoor.Obfuscation.LongStrings
gc@0.5.0,99,"Security.Backdoor.LOLBAS.Linux, Security.Backdoor.Obfuscation.LongStrings, Security.Backdoor.DataExfiltration"
gcc@0.3.55,38,"Security.Backdoor.LOLBAS.Linux, Security.Backdoor.DataExfiltration.Environment, Security.Backdoor.LOLBAS.Windows"
gcob@0.2.0,13,"Security.Backdoor.Obfuscation.LongStrings, Security.Backdoor.LOLBAS.Windows"
gcookie@0.0.3,104,"Security.Backdoor.LOLBAS.Linux, Security.Backdoor.Obfuscation.LongStrings, Security.Backdoor.Obfuscation, Security.Backdoor.DataExfiltration"
ggc@0.0.1,166,"Security.Backdoor.Obfuscation, Security.Backdoor.LOLBAS.Windows, Security.Backdoor.Obfuscation.LongStrings, Security.Backdoor.LOLBAS.Linux, Security.Backdoor.DataExfiltration.Token"
gloo@0.10.0,49,"Security.Backdoor.LOLBAS.Linux, Security.Backdoor.Obfuscation.LongStrings, Security.Backdoor.LOLBAS.Windows"
grob@0.1.1,0,
gum@0.0.0,0,
hc@0.1.2,2,"Security.Backdoor.LOLBAS.Linux, Security.Backdoor.DataExfiltration"
hf@0.2.2,69,"Security.Backdoor.LOLBAS.Linux, Security.Backdoor.Obfuscation.LongStrings, Security.Backdoor.LOLBAS.Windows"
hurl@4.1.0,275,"Security.Backdoor.Obfuscation, Security.Backdoor.LOLBAS.Windows, Security.Backdoor.Obfuscation.LongStrings, Security.Backdoor.LOLBAS.Linux, Security.Backdoor.DataExfiltration.Token, Security.Backdoor.DataExfiltration, Security.Backdoor.CurlBashing, Security.Backdoor.DataExfiltration.Username"
hypar@1.0.3,22,"Security.Backdoor.LOLBAS.Linux, Security.Backdoor.Obfuscation.LongStrings, Security.Backdoor.LOLBAS.Windows, Security.Backdoor.DataExfiltration"
hypher@0.1.4,15,"Security.Backdoor.LOLBAS.Linux, Security.Backdoor.Obfuscation.LongStrings, Security.Backdoor.LOLBAS.Windows"
ida@0.1.1,32,"Security.Backdoor.LOLBAS.Linux, Security.Backdoor.Obfuscation.LongStrings, Security.Backdoor.LOLBAS.Windows"
idea@0.5.1,9,"Security.Backdoor.LOLBAS.Linux, Security.Backdoor.Obfuscation.LongStrings, Security.Backdoor.LOLBAS.Windows"
if@0.0.0,0,
ina@0.0.1,0,
integer@0.1.0,3,Security.Backdoor.LOLBAS.Windows
io@0.0.2,0,
iota@0.2.3,8,"Security.Backdoor.LOLBAS.Linux, Security.Backdoor.Obfuscation.LongStrings, Security.Backdoor.LOLBAS.Windows"
iter@0.0.0,1,Security.Backdoor.Obfuscation.LongStrings
itertool@0.1.0,1,Security.Backdoor.LOLBAS.Windows
itla@0.1.2,0,
itoa@1.0.9,7,"Security.Backdoor.LOLBAS.Linux, Security.Backdoor.Obfuscation.LongStrings, Security.Backdoor.LOLBAS.Windows"
itoap@1.0.1,8,"Security.Backdoor.LOLBAS.Linux, Security.Backdoor.Obfuscation.LongStrings, Security.Backdoor.LOLBAS.Windows"
itty@0.0.1,0,
